Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PRA,ProAssurance Corporation,44.88,2504953638,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pra
KW,Kennedy-Wilson Holdings Inc.,26.07,2503076742,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/kw
SUSQ,"Susquehanna Bancshares, Inc.",13.54,2465997211,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/susq
ROL,"Rollins, Inc.",33.79,2458661365,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/rol
PRAA,"PRA Group, Inc.",49.58,2403441964,n/a,2002,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/praa
HBHC,Hancock Holding Company,29.79,2396208370,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbhc
UMBF,UMB Financial Corporation,51.74,2367042705,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/umbf
MBFI,MB Financial Inc.,30.77,2313688764,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbfi
CBSHP,"Commerce Bancshares, Inc.",25.2046,2309759727,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
VLY,Valley National Bancorp,9.67,2248246174,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/vly
TCBI,"Texas Capital Bancshares, Inc.",49.1,2246956131,n/a,2003,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbi
FNB,F.N.B. Corporation,12.91,2246093793,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fnb
WTFC,Wintrust Financial Corporation,47.05,2225503393,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wtfc
FULT,Fulton Financial Corporation,12.26,2194907800,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fult
FNGN,"Financial Engines, Inc.",42.2,2193069139,n/a,2010,Finance,Investment Managers,http://www.nasdaq.com/symbol/fngn
